offer,accepted
"БИС выяснили, что современная инфляция, которая начала разгон с 2021 г. в наибольшей степени передаётся на домохозяйства через зарплаты, которые растут медлено, и через кредиты, которые выдаются по растущим ставкам. В меньшей степени - через рост цен на продукты. Ещё что больше всего сокращает доход стариков 56+","0,00"
"немецкий ifo второй месяц подряд повысил свой индекс по экспорту Германии - до -3,8 пунктов в ноябре после -6,3 пунктов в октябре и -10,8 пунктов в сентябре. Самые высокие ожидания по улучшению - в производстве еды и напитков (20,2 п), одежды (9,6 п), химии (2,8 п). Самые худшие ожидания - в производстве текстиля (-41,7 п), древесине (-23,2 п).","0,00"
"В МВФ сообщили, что для достижения цели по замедлению глобального потепления налоги на выбросы должны вырасти в 17 раз. По их расчётам, чтобы достигнуть таргетов Парижского соглашения 2015 г. (рост глобальной температуры только на 1,5-2°C к 2030), необходимо, что уровни выбросов CO2 к 2030 г. сократились на 25-50% в сравнении с 2019 г., но при текущих налогах на выбросы и субсидиях на топливо сокращение возможно только на 11%. На данный момент средний по миру налоговый сбор за тонну выбросов CO2 составляет всего $5, и для того, чтобы таргет в 2°C стал возможен, эта сумма должна возрасти до $85. Для достижения net-zero по выбросам к 2050 г. инвестиции в климат должны вырасти с уровня $0,9 трлн на 2020 г. до примерно $5 трлн в год к 2030 г. При этом из этих $5 трлн $2 трлн должны будут вкладывать развивающиеся страны ($1,2 трлн без учета Китая) - то есть, развивающиеся должны увеличить свои вложение более чем в 5 раз, с уровня в $370 млрд на 2020 г.","0,00"
"ЕЦБ предупредил о трех главных рисках для европейских банков. В «Обзоре финансовой стабильности», выходящей раз в два года, они указывают, что пока что банки еврозоны в целом остались в выигрыше от цикла повышения ставок, их рентабельность собственного капитала достигла 8,9% в 2023 г. - это самый высокий уровень за последние 15 лет. Тем не менее, три главных фактора могут привести к сокращению этого показателя в 2024-2025 гг.
Во-первых, у банков растут расходы на обслуживание их обязательств перед вкладчиками (депозитные счета), а также «структура их финансирования меняется от депозитов овернайт к более дорогим срочным депозитам или облигациям». «Высокая в настоящее время прибыльность банков, вероятно, окажется под давлением, поскольку стоимость их финансирования сравняется с процентными ставками», - пишут в ЕЦБ.
Во-вторых, качество банковских активов может значительно пострадать в связи с более высокой стоимостью жизни, более высокими расходы на обслуживание долга и ухудшением макроэкономической конъюнктуры.
В-третьих, высокие ставки по займам, низкий спрос на кредиты и более жесткие кредитные условия приведут к большому падению кредитных денег, что также ограничит возможности банков и ударит по их прибылям.","1,00"
"
У Европы тем временем внешняя торговля в профиците впервые за 2 года. По итогам III квартала он составил 18 млрд евро, в последний раз в положительной зоне торговый баланс фиксировали на уровне 6,9 млрд евро по итогам третьего квартала 2021 г. Прикол в том, что и импорт, и экспорт у них просели, но импорт упал почти в 4 раза сильнее экспорта. Так, экспорт упал на 1,2% кв/кв и составил 628,71 млрд евро, импорт - на 4,6%, 610,58 млрд евро.","0,00"
"В Британии ещё хотят урезать налог на наследство: с текущих 40% до 30-20%, существуют предположения, что его вообще упразднят. По итогу теряют 7 млрд фунтов в год поступлений в бюджет, создают дополнительное инфляционное давление и в реальности помогают только самым богатым слоям населения.","1,00"
"Полиция Лондона сообщила, что с 1 апреля этого года было повреждено или украдено коло 1000 ULEZ-камер из 2700 установленных - более трети. Эти камеры отслеживают машины с бензиновыми и дизельными двигателями, срок эксплуатации которых превышает 15 и 6 лет соответственно и облагает владельцев ежедневным сбором в 12,5 фунта. До конца лета 2023 г. зона ULEZ покрывала только Внутренний Лондон (3,8 млн чел), а с 1 августа была расширена до Большого Лондона (около 9 млн чел). Ежедневным сбором покрывается около 60 тыс транспортных средств. Уничтожение камер в основном связывают с группировкой, которая называет себя ""Бегущими по лезвию"" (Blade Runners). Эта история уже, в принципе, покрывалась раньше, но в ней как-то опускался один важный момент: по сути, весь этот сбор нацелен против беднейших слоёв населения. Допустим, какому-нибудь британцу Джо приходится ездить на работу каждый рабочий день на протяжении месяца - итого 20 дней. Зарабатывает он около 2000-3000 фунтов в месяц, и позволить себе даже подержанную машину ему сложно (дешевле 15000 фунтов такую хрен найдешь). Соответственно, на работу он ездит на колымаге, которую ловит ULEZ-камера. Теперь за каждый из 20 рабочих дней он должен отдавать правительству Лондона 12,5 фунтов - итого 250 фунтов в месяц. Не меньше 1000 фунтов ежемесячно у него уходит только на аренду жилья, плюс продуты, плюс налоги. В итоге ни о каком гибриде/электрокаре речи здесь даже не идет - с этим сбором покупка чего-то подобного становится тупо невозможной. Но получается, что Джо виноват, и должен за это платить - на протяжении неограниченного времени. В итоге под эгидой борьбы за экологию Лондон находит себе такой способ пополнять бюджет - грабим бедных, отдаём себе.","0,00"
"
В общем IIF посчитали, что глобальный долг (государственный ($88,1 трлн) + корпоративный ($161,1 трлн) + домохозяйств ($57,9 трлн)) достиг «ошеломляющих» $307 трлн по итогам 3-го квартала 2023 г. Из этой суммы $206 трлн приходится на развитые страны, $101,3 трлн – на развивающиеся. При этом объемы долгов развивающихся растут быстрее, чем у развитых: так, с $69,4 трлн в 2018 г. развивающиеся увеличили долги на $31,9 трлн, развитые – со $176,6 трлн на $29,4 трлн. В IFF опасаются, что к концу 2023 г. глобальный долг достигнет $310 трлн. Укзывают, что быстрее всего растут госзаймы. В развитых экономиках больше всего росли долги США, Японии, Франции и Великобритании, в развивающихся – в Китае, Индии, Бразилии, Мексике. 
В IIF в качестве большого риска указывают, что выборы в 2024 г. могут привести к приходу к власти популистов, что приведет к росту бюджетных расходов и будет дальше разгонять госзаимстовования. В результате глобальный долг государств будет расти на $5,3 трлн в год с 2024 по 2027 гг.","0,00"
"Morgan Stanley назвал три сценария развития ситуации в экономике Европы.
В базовом сценарии они ожидают, что на фоне жёсткой ДКП, которая давит на инвестиции, ВВП еврозоны покажет рост всего на 0,4% в 2023 г. и на 0,5% в 2024 г., давить также будут слабая демография и энергопереод, при этом к 2025 г. рост восстановится до 1%. На этом фоне инфляция будет стабильно сокращаться: в 2024 г. составит 2,4%, в 2025 г. - 2%. Соответственно, ЕЦБ будет понижать ставки - но не раньше июня, потому что они ещё будут наблюдать за ситуацией. Уже в июне 2024 г. они понизят ставки на 25 бп и продолжат понижать вплоть до 2% (депозитная) к сентябрю 2025 г.
В сценарии падения Китая они ожидают, что большой шок на рынке недвижимости КНР нанесёт большой удар по китайской экономике, вместе с этим будут падать китайские инвестиции и сокращаться товарооборот с Европой. Соответственно, у европейцев будут проблемы с экспортом (Лагард на одном из последних заседаний очень уповала на его восстановление), и, как результат, в 2024 г. рост экономики будет 0%, в 2025 г. - 0,6%. При этом и инфляция будет замедляться значительно быстрее: до 1,7% в 2024 г. и 1,6% в 2025 г. - ниже таргета. Соответственно, ЕЦБ будет ронять ставки более агрессивно: в июле 2024 г. снизят сразу на 50 бп, к марту 2025 г. до 2%, к сентябрю 2025 г. – до 1,25%.
В сценарии роста США эксперты допускают, что американская экономика не будет замедляться, как ожидается, и сохранит сильное потребление и инвестиции. Это будет разгонять инфляцию, которая составит 2,6% в 2024 г. и 2,5% в 2025 г. – ЕЦБ в таком случае будет повышать ставки, депозитная достигнет 4,5% в сентябре 2024 г., к 2025 г. сократится до 3,75%. ВВП при этом будет расти быстрее: 2,6% в 2024 и 2,5% в 2025","1,00"
"они ожидают, что ФРС будет понижать ставки уже с июня 2024 г.: ждут, что в июне снизят на 25 б.п., потом ещё три снижения на 25 бп до конца года. Далее будет 8 снижений по 25 бп в 2025 г. Вместе с этим будут снижаться ставки на гособлигации: так, к середине 2024 г. 10-летние трежи будут торговаться с дохдностью 4,20%, и уже к концу след года ставка по ним спустится до 3,7%. Мы при этом недавно писали, что США, возможно, не дотянули ставки, и им придётся не сбивать их вплоть до 2025 г. Судя по всему, Морган видит, что у них уже огромная проблема с бюджетным дефицитом, и они скоро будут пытаться как минимум сбить стоимость обслуживания долга.","1,00"
